code,name,unit,preunit
BQMT,Trade in Goods: Cereals & animal feeding stuffs (04and08): WW: Exports: BOP: CP: SA,NA,NA
BQMU,Trade in Goods: Vegetables & fruit (05): WW: Exports: BOP: CP: SA,NA,NA
BQMV,"Trade in Goods: Food, beverages & tobacco (0and1): WW: Exports: BOP: CP: NSA",NA,NA
BQMW,"Trade in Goods: Food, beverages & tobacco (0and1): WW: Imports: BOP: CP: NSA",NA,NA
BQMX,Trade in Goods: Semi-manufactures (5and6): WW: Exports: BOP: CP: NSA,NA,NA
BQMZ,Trade in Goods: Beverages and Tobacco (1): WW: Exports: BOP: CP: SA,NA,NA
BQNA,Trade in Goods: Basic materials (2and4): WW: Imports: BOP: CP: NSA,NA,NA
BQND,Trade in Goods less oil (TlessO): WW: Imports: BOP: IDEF: NSA,NA,NA
BQNE,Trade in Goods: Oil (33): WW: Balance: BOP: CP: NSA,NA,NA
BQNF,Trade in Goods: Fuels other than oil (3OF): WW: Exports: BOP: CP: NSA,NA,NA
BQNG,Trade in Goods: Fuels other than oil (3OF): WW: Imports: BOP: CP: NSA,NA,NA
BQNH,Trade in Goods: Fuels other than oil (3OF): WW: Balance: BOP: CP: NSA,NA,NA
BQNI,Trade in Goods: Crude oil (33O): WW: Exports: BOP: CP: SA,NA,NA
BQNJ,Trade in Goods: Crude oil (33O): WW: Imports: BOP: CP: SA,NA,NA
BQOR,Trade in Goods: Basic materials (2and4): WW: Balance: BOP: CP: NSA,NA,NA
BQOS,"Trade in Goods: Food, beverages & tobacco (0and1): WW: Balance: BOP: CP: NSA",NA,NA
BQOT,Trade in Goods: Semi-manufactures (5and6): WW: Balance: BOP: CP: NSA,NA,NA
BQOU,Trade in Goods: Unspecified goods (9): WW: Balance: BOP: CP: NSA,NA,NA
BQOV,Trade in Goods: Finished manufactures (7and8): WW: Balance: BOP: CP: NSA,NA,NA
BQOX,Trade in Goods: Crude Materials (2): WW: Exports: BOP: CP: SA,NA,NA
BQOY,Trade in Goods: Wood & cork (24): WW: Exports: BOP: CP: SA,NA,NA
BQOZ,Trade in Goods: Pulp & waste paper (25): WW: Exports: BOP: CP: SA,NA,NA
BQPA,Trade in Goods: Textile fibres (26): WW: Exports: BOP: CP: SA,NA,NA
BQPB,Trade in Goods: Metal ores & scrap (28): WW: Exports: BOP: CP: SA,NA,NA
BQPI,Trade in Goods: Animal and Vegetable Oils (4): WW: Exports: BOP: CP: SA,NA,NA
BQPJ,Trade in Goods: Organic chemicals (51): WW: Exports: BOP: CP: SA,NA,NA
BQPK,Trade in Goods: Inorganic chemicals (52): WW: Exports: BOP: CP: SA,NA,NA
BQPL,Trade in Goods: WW: Medicinal & pharmaceutical products (54): EX: BOP: CP: SA,NA,NA
BQQA,Trade in Goods: Plastics (57and58): WW: Exports: BOP: CP: SA,NA,NA
BQQB,Trade in Goods: Material manufatures (6): WW: Exports: BOP: CP: SA,NA,NA
BQQC,Trade in Goods: Wood & cork manufactures (63): WW: Exports: BOP: CP: SA,NA,NA
BQQD,Trade in Goods: Paper & paperboard (64): WW: Exports: BOP: CP: SA,NA,NA
BQQE,Trade in Goods: Textile fabrics (65): WW: Exports: BOP: CP: SA,NA,NA
BQQF,Trade in Goods: Iron & steel (67): WW: Exports: BOP: CP: SA,NA,NA
BQQG,Trade in Goods: Non-ferrous metals (68): WW: Exports: BOP: CP: SA,NA,NA
BQQH,Trade in Goods: Miscellaneous metal manufactures (69): WW: Exports: BOP: CP: SA,NA,NA
BQQI,Trade in Goods: Machinery and Transport (7): WW: Exports: BOP: CP: SA,NA,NA
BQQJ,Trade in Goods: Machinery (71to77): WW: Exports: BOP: CP: SA,NA,NA
BQQK,Trade in Goods: Mechanical machinery (7M): WW: Exports: BOP: CP: SA,NA,NA
BQQL,Trade in Goods: Electrical machinery (7E): WW: Exports: BOP: CP: SA,NA,NA
BQQM,Trade in Goods: Road vehicles (78): WW: Exports: BOP: CP: SA,NA,NA
BQQN,Trade in Goods: Other transport equipment (79): WW: Exports: BOP: CP: SA,NA,NA
BQQO,Trade in Goods: Miscellanous manufactures (8): WW: Exports: BOP: CP: SA,NA,NA
BQQP,Trade in Goods: Clothing & footwear (84and85): WW: Exports: BOP: CP: SA,NA,NA
BQQQ,Trade in Goods: Scientific & photographic (87and88): WW: Exports: BOP: CP: SA,NA,NA
BQQR,Trade in Goods: Food & live animals (0): WW: Imports: BOP: CP: SA,NA,NA
BQQS,Trade in Goods: Meat & meat preparations (01): WW: Imports: BOP: CP: SA,NA,NA
BQQT,Trade in Goods: Dairy products & eggs (02): WW: Imports: BOP: CP: SA,NA,NA
BQQU,Trade in Goods: Cereals & animal feeding stuffs (04and08): WW: Imports: BOP: CP: SA,NA,NA
BQQV,Trade in Goods: Vegetables & fruit (05): WW: Imports: BOP: CP: SA,NA,NA
BQQW,Trade in Goods: Beverages and Tobacco (1): WW: Imports: BOP: CP: SA,NA,NA
CHMY,Trade in Goods: Austria: Total: Exports: BOP: CP: SA,NA,NA
CHMZ,Trade in Goods: Finland: Total: Exports: BOP: CP: SA,NA,NA
CHNA,Trade in Goods: Sweden: Total: Exports: BOP: CP: SA,NA,NA
CHNB,Trade in Goods: Austria: Total: Imports: BOP: CP: SA,NA,NA
CHNC,Trade in Goods: Finland: Total: Imports: BOP: CP: SA,NA,NA
CHND,Trade in Goods: Sweden: Total: Imports: BOP: CP: SA,NA,NA
CHNE,Trade in Goods: Netherlands: Total: Balance: BOP: CP: SA,NA,NA
CHNG,Trade in Goods: Denmark: Total: Balance: BOP: CP: SA,NA,NA
CHNH,Trade in Goods: Ireland: Total: Balance: BOP: CP: SA,NA,NA
CHNI,Trade in Goods: Greece: Total: Balance: BOP: CP: SA,NA,NA
CHNJ,Trade in Goods: Portugal: Total: Balance: BOP: CP: SA,NA,NA
CHNM,Trade in Goods: Spain: Total: Balance: BOP: CP: SA,NA,NA
CHNO,Trade in Goods: Italy: Total: Exports: BOP: CP: SA,NA,NA
CHNP,Trade in Goods: Netherlands: Total: Exports: BOP: CP: SA,NA,NA
CHNR,Trade in Goods: Denmark: Total: Exports: BOP: CP: SA,NA,NA
CHNS,Trade in Goods: Ireland: Total: Exports: BOP: CP: SA,NA,NA
CHNT,Trade in Goods: Greece: Total: Exports: BOP: CP: SA,NA,NA
CHNU,Trade in Goods: Portugal: Total: Exports: BOP: CP: SA,NA,NA
CHNV,Trade in Goods: Spain: Total: Exports: BOP: CP: SA,NA,NA
CHNW,Trade in Goods: Italy: Total: Imports: BOP: CP: SA,NA,NA
CHNX,Trade in Goods: Netherlands: Total: Imports: BOP: CP: SA,NA,NA
CHNZ,Trade in Goods: Denmark: Total: Imports: BOP: CP: SA,NA,NA
CHOA,Trade in Goods: Ireland: Total: Imports: BOP: CP: SA,NA,NA
CHOB,Trade in Goods: Greece: Total: Imports: BOP: CP: SA,NA,NA
CHOC,Trade in Goods: Portugal: Total: Imports: BOP: CP: SA,NA,NA
CHOD,Trade in Goods: Spain: Total: Imports: BOP: CP: SA,NA,NA
CHOE,Trade in Goods: Italy: Total: Balance: BOP: CP: SA,NA,NA
CHVG,Trade in Goods: Austria: Total: Balance: BOP: CP: SA,NA,NA
CHVH,Trade in Goods: Finland: Total: Balance: BOP: CP: SA,NA,NA
CHVI,Trade in Goods: Sweden: Total: Balance: BOP: CP: SA,NA,NA
CPAV,"Trade in Goods: Dyeing, tanning & colouring materials (53): WW: Balance: BOP: CP: SA",NA,NA
CPLX,Total Trade less erratics (TTlessE): WW: Exports: BOP: CP: SA,NA,NA
CPLY,Total Trade less erratics (TTlessE): WW: Imports: BOP: CP: SA,NA,NA
CPLZ,Total Trade less erratics (TTlessE): WW: Balance: BOP: CP: SA,NA,NA
CQER,Trade in Goods: Toilet & cleansing preparations (55): WW: Balance: BOP: CP: SA,NA,NA
CRAB,Trade in Goods: Mineral manufactures less precious stones (66lessP): WW: Balance: BOP: CP: SA,NA,NA
CRAH,Trade in Goods: Clothing (84): WW: Balance: BOP: CP: SA,NA,NA
CSCA,Trade in Goods: Footwear (85): WW: Balance: BOP: CP: SA,NA,NA
CSCE,"Trade in Goods: Dyeing, tanning & colouring materials (53): WW: Exports: BOP: CP: SA",NA,NA
CSCF,Trade in Goods: Toilet & cleansing preparations (55): WW: Exports: BOP: CP: SA,NA,NA
CSCG,Trade in Goods: Mineral manufactures less precious stones (66lessP): WW: Exports: BOP: CP: SA,NA,NA
CSCN,Trade in Goods: Clothing (84): WW: Exports: BOP: CP: SA,NA,NA
CSCP,Trade in Goods: Footwear (85): WW: Exports: BOP: CP: SA,NA,NA
CSCR,"Trade in Goods: Dyeing, tanning & colouring materials (53): WW: Imports: BOP: CP: SA",NA,NA
CSCS,Trade in Goods: Toilet & cleansing preparations (55): WW: Imports: BOP: CP: SA,NA,NA
CSCV,Trade in Goods: Mineral manufactures less precious stones (66lessP): WW: Imports: BOP: CP: SA,NA,NA
CSDR,Trade in Goods: Clothing (84): WW: Imports: BOP: CP: SA,NA,NA
CSDS,Trade in Goods: Footwear (85): WW: Imports: BOP: CP: SA,NA,NA
CTSL,Trade in Goods: WW: Total: Terms of Trade: BOP: IDEF: SA,NA,NA
CTUZ,Trade in Goods: Food & live animals (0): EU: Balance: BOP: CP: SA,NA,NA
CTVA,Trade in Goods: Beverages and Tobacco (1): EU: Balance: BOP: CP: SA,NA,NA
CTVB,Trade in Goods: Crude Materials (2): EU: Balance: BOP: CP: SA,NA,NA
CTVC,Trade in Goods: Animal and Vegetable Oils (4): EU: Balance: BOP: CP: SA,NA,NA
CTVD,Trade in Goods: Chemicals (5): EU: Balance: BOP: CP: SA,NA,NA
CTVE,Trade in Goods: Material manufatures (6): EU: Balance: BOP: CP: SA,NA,NA
CTVF,Trade in Goods: Machinery and Transport (7): EU: Balance: BOP: CP: SA,NA,NA
CTVG,Trade in Goods: Miscellanous manufactures (8): EU: Balance: BOP: CP: SA,NA,NA
CTVH,Trade in Goods: Food & live animals (0): Non-EU: Balance: BOP: CP: SA,NA,NA
CTVI,Trade in Goods: Beverages and Tobacco (1): Non-EU: Balance: BOP: CP: SA,NA,NA
CTVJ,Trade in Goods: Crude Materials (2): Non-EU: Balance: BOP: CP: SA,NA,NA
CTVK,Trade in Goods: Animal and Vegetable Oils (4): Non-EU: Balance: BOP: CP: SA,NA,NA
CTVL,Trade in Goods: Chemicals (5): Non-EU: Balance: BOP: CP: SA,NA,NA
CTVM,Trade in Goods: Material manufatures (6): Non-EU: Balance: BOP: CP: SA,NA,NA
CTVN,Trade in Goods: Machinery and Transport (7): Non-EU: Balance: BOP: CP: SA,NA,NA
CTVO,Trade in Goods: Miscellanous manufactures (8): Non-EU: Balance: BOP: CP: SA,NA,NA
CTVP,Total Trade less Oil (TTlessO): WW: Exports: BOP: CP: SA,NA,NA
