variable,value,dates.date,dates.freq
LNNK,5.6,1957-04-01,q
LNNL,5,1957-04-01,q
LOJE,1.9,1957-04-01,q
DMWL,3.2,1957-07-01,q
DMWN,3.6,1957-07-01,q
DMWO,3.1,1957-07-01,q
FZLN,71.7,1957-07-01,q
FZLP,0.3,1957-07-01,q
FZLR,-0.6,1957-07-01,q
LNNK,5.8,1957-07-01,q
LNNL,5.2,1957-07-01,q
LOJE,3.6,1957-07-01,q
DMWL,0.6,1957-10-01,q
DMWN,2.9,1957-10-01,q
DMWO,0.3,1957-10-01,q
FZLN,70.6,1957-10-01,q
FZLP,-1.6,1957-10-01,q
FZLR,-1.5,1957-10-01,q
LNNK,5.8,1957-10-01,q
LNNL,5.2,1957-10-01,q
LOJE,3.1,1957-10-01,q
DMWL,-1.1,1958-01-01,q
DMWN,3.1,1958-01-01,q
DMWO,-0.8,1958-01-01,q
FZLN,70.1,1958-01-01,q
FZLP,-0.7,1958-01-01,q
FZLR,-3.8,1958-01-01,q
LNNK,5.7,1958-01-01,q
LNNL,5.1,1958-01-01,q
LOJE,3.1,1958-01-01,q
DMWL,1.7,1958-04-01,q
DMWN,5,1958-04-01,q
DMWO,2.3,1958-04-01,q
FZLN,70.7,1958-04-01,q
FZLP,0.9,1958-04-01,q
FZLR,-1.2,1958-04-01,q
LNNK,5.8,1958-04-01,q
LNNL,5.3,1958-04-01,q
LOJE,4.4,1958-04-01,q
DMWL,-1.6,1958-07-01,q
DMWN,0.2,1958-07-01,q
DMWO,-1.6,1958-07-01,q
FZLN,70.4,1958-07-01,q
FZLP,-0.4,1958-07-01,q
FZLR,-1.8,1958-07-01,q
LNNK,5.7,1958-07-01,q
LNNL,5.2,1958-07-01,q
LOJE,-0.5,1958-07-01,q
DMWL,1.8,1958-10-01,q
DMWN,1.6,1958-10-01,q
DMWO,1.7,1958-10-01,q
FZLN,70.7,1958-10-01,q
FZLP,0.4,1958-10-01,q
FZLR,0.2,1958-10-01,q
LNNK,5.8,1958-10-01,q
LNNL,5.3,1958-10-01,q
LOJE,0.7,1958-10-01,q
DMWL,0.3,1959-01-01,q
DMWN,2.7,1959-01-01,q
DMWO,0.3,1959-01-01,q
FZLN,70.7,1959-01-01,q
FZLP,0.1,1959-01-01,q
FZLR,0.9,1959-01-01,q
LNNK,5.9,1959-01-01,q
LNNL,5.3,1959-01-01,q
LOJE,2.2,1959-01-01,q
DMWL,0,1959-04-01,q
DMWN,0.5,1959-04-01,q
DMWO,0.1,1959-04-01,q
FZLN,70.3,1959-04-01,q
FZLP,-0.7,1959-04-01,q
FZLR,-0.6,1959-04-01,q
LNNK,5.9,1959-04-01,q
LNNL,5.3,1959-04-01,q
LOJE,0.5,1959-04-01,q
DMWL,-1.3,1959-07-01,q
DMWN,0.9,1959-07-01,q
DMWO,-1.2,1959-07-01,q
FZLN,70,1959-07-01,q
FZLP,-0.4,1959-07-01,q
FZLR,-0.6,1959-07-01,q
LNNK,5.8,1959-07-01,q
LNNL,5.2,1959-07-01,q
LOJE,0.9,1959-07-01,q
DMWL,0,1959-10-01,q
DMWN,-1,1959-10-01,q
DMWO,-0.1,1959-10-01,q
FZLN,69.4,1959-10-01,q
FZLP,-0.8,1959-10-01,q
FZLR,-1.8,1959-10-01,q
LNNK,5.8,1959-10-01,q
LNNL,5.2,1959-10-01,q
LOJE,-0.9,1959-10-01,q
DMWL,-1.5,1960-01-01,q
DMWN,-3,1960-01-01,q
DMWO,-1.8,1960-01-01,q
FZLN,67.5,1960-01-01,q
FZLP,-2.7,1960-01-01,q
FZLR,-4.5,1960-01-01,q
LNNK,5.7,1960-01-01,q
LNNL,5.1,1960-01-01,q
LOJE,-2.8,1960-01-01,q
DMWL,3.5,1960-04-01,q
DMWN,0.2,1960-04-01,q
DMWO,3.4,1960-04-01,q
FZLN,68.6,1960-04-01,q
FZLP,1.6,1960-04-01,q
FZLR,-2.4,1960-04-01,q
LNNK,5.9,1960-04-01,q
LNNL,5.3,1960-04-01,q
