variable,value,dates.date,dates.freq
IKBK,52094,1951-01-01,a
IKBL,46356,1951-01-01,a
IKBM,5738,1951-01-01,a
JJDC,10.1,1951-01-01,a
JJDU,-1.3,1951-01-01,a
KB7D,-20,1951-01-01,a
KB7E,0,1951-01-01,a
KB7F,-20,1951-01-01,a
KB7K,0,1951-01-01,a
KB7L,0,1951-01-01,a
KB7M,5,1951-01-01,a
KB7N,0,1951-01-01,a
KB7O,0,1951-01-01,a
KB7P,0,1951-01-01,a
KB7Q,5,1951-01-01,a
KB7R,-5,1951-01-01,a
KB7S,0,1951-01-01,a
KB7T,-20,1951-01-01,a
KB7U,-1,1951-01-01,a
KB7V,-4,1951-01-01,a
KB7W,0,1951-01-01,a
KB7X,-5,1951-01-01,a
KB7Y,5,1951-01-01,a
KB7Z,-20,1951-01-01,a
KB82,0,1951-01-01,a
KB8E,0,1951-01-01,a
KB8G,0,1951-01-01,a
KB8H,0,1951-01-01,a
KB8I,0,1951-01-01,a
KB8J,-0.1,1951-01-01,a
KB8K,0,1951-01-01,a
KB8L,0,1951-01-01,a
KB8M,0,1951-01-01,a
KG6O,20,1951-01-01,a
KG7N,6.8,1951-01-01,a
KG9K,21.2,1951-01-01,a
KG9L,47.9,1951-01-01,a
KG9W,7,1951-01-01,a
KG9X,-1,1951-01-01,a
KGI3,11.4,1951-01-01,a
KGL6,11.9,1951-01-01,a
KGM4,8.2,1951-01-01,a
KGM7,3.4,1951-01-01,a
KGV7,18.1,1951-01-01,a
KGW5,4.5,1951-01-01,a
KGX3,17.2,1951-01-01,a
KGX9,5.9,1951-01-01,a
KGY7,8.1,1951-01-01,a
KGZ5,-1.2,1951-01-01,a
KGZ8,9.5,1951-01-01,a
KH26,-1.2,1951-01-01,a
KH2C,16.7,1951-01-01,a
KH2I,7.3,1951-01-01,a
KH2O,21.8,1951-01-01,a
KH2U,-1.3,1951-01-01,a
KH35,23.7,1951-01-01,a
KH3B,-2.3,1951-01-01,a
KH3H,40.8,1951-01-01,a
KH3N,6.6,1951-01-01,a
KH3W,18.8,1951-01-01,a
KH44,5,1951-01-01,a
KH47,12.2,1951-01-01,a
KH4D,3.7,1951-01-01,a
KH4V,17.3,1951-01-01,a
KH53,3.1,1951-01-01,a
KH59,20.8,1951-01-01,a
KH5L,11.9,1951-01-01,a
KH65,13.8,1951-01-01,a
KH68,11.6,1951-01-01,a
KH6E,3.2,1951-01-01,a
KH6N,11.8,1951-01-01,a
KH6T,5.6,1951-01-01,a
KH74,11.5,1951-01-01,a
KH7D,10.7,1951-01-01,a
NHCZ,94,1951-01-01,a
NMRP,2534,1951-01-01,a
NMRY,131337,1951-01-01,a
NPJQ,0,1951-01-01,a
NPJR,0,1951-01-01,a
NPQS,1667,1951-01-01,a
NPQT,36307,1951-01-01,a
NTAB,2091,1951-01-01,a
NTAO,55843,1951-01-01,a
NTAP,1345,1951-01-01,a
YBEU,0.6,1951-01-01,a
YBEX,0.6,1951-01-01,a
YBEZ,18.9,1951-01-01,a
YBFR,18.4,1951-01-01,a
YBFV,3.6,1951-01-01,a
YBGB,3.4,1951-01-01,a
YBHA,14305,1951-01-01,a
YBIL,14875,1951-01-01,a
YBIM,408832,1951-01-01,a
AAXW,421,1952-01-01,a
ABJQ,10605,1952-01-01,a
ABJR,237124,1952-01-01,a
ABMF,19434,1952-01-01,a
ABMG,448710,1952-01-01,a
ABMI,428734,1952-01-01,a
ABML,14150,1952-01-01,a
ABMM,377015,1952-01-01,a
ABMZ,15745,1952-01-01,a
BKTL,15536,1952-01-01,a
BOKG,2819,1952-01-01,a
BOKH,3090,1952-01-01,a
BOKI,-271,1952-01-01,a
BQKO,26260,1952-01-01,a
BQKQ,28083,1952-01-01,a
CAEQ,465,1952-01-01,a
CAER,2579,1952-01-01,a
CAEX,50,1952-01-01,a
CAFU,-463,1952-01-01,a
CAGQ,14081,1952-01-01,a
CAGR,375111,1952-01-01,a
CAGS,14295,1952-01-01,a
CGBV,3.8,1952-01-01,a
CGBX,1700,1952-01-01,a
CGBZ,3152,1952-01-01,a
CGCB,14002,1952-01-01,a
CGCE,18.9,1952-01-01,a
CMVL,1679,1952-01-01,a
CWNE,8.4,1952-01-01,a
CWNH,7,1952-01-01,a
DJDS,-214,1952-01-01,a
DMUM,0,1952-01-01,a
DMUN,0,1952-01-01,a
DMUQ,0,1952-01-01,a
DTWL,8595,1952-01-01,a
DTWM,9150,1952-01-01,a
DTWP,555,1952-01-01,a
GDPQ,2,1952-01-01,a
GIXM,69,1952-01-01,a
GIXQ,-145,1952-01-01,a
GIXS,1904,1952-01-01,a
HAYE,51,1952-01-01,a
HAYO,14226,1952-01-01,a
IHXW,0,1952-01-01,a
IHYA,0.7,1952-01-01,a
IHYB,0.7,1952-01-01,a
IHYC,18.8,1952-01-01,a
IHYD,19.1,1952-01-01,a
IHYM,8.6,1952-01-01,a
IHYP,1.5,1952-01-01,a
IHYS,7,1952-01-01,a
IKBB,1016,1952-01-01,a
IKBC,877,1952-01-01,a
IKBD,139,1952-01-01,a
IKBE,27455,1952-01-01,a
IKBF,20420,1952-01-01,a
IKBH,3835,1952-01-01,a
IKBI,3967,1952-01-01,a
IKBJ,-132,1952-01-01,a
IKBK,50848,1952-01-01,a
IKBL,42808,1952-01-01,a
IKBM,8040,1952-01-01,a
JJDC,0.4,1952-01-01,a
JJDU,-10.4,1952-01-01,a
KB7D,-24,1952-01-01,a
KB7E,0,1952-01-01,a
KB7F,-24,1952-01-01,a
KB7K,0,1952-01-01,a
KB7L,0,1952-01-01,a
KB7M,6,1952-01-01,a
KB7N,0,1952-01-01,a
KB7O,0,1952-01-01,a
KB7P,0,1952-01-01,a
KB7Q,6,1952-01-01,a
KB7R,-5,1952-01-01,a
