code,name,unit,preunit
EV63,"PPI INDEX EXPORT NEU - C2651 Measuring, testing and navigating equipment 2015=100",NA,NA
EV67,"PPI INDEX EXPORT NEU - C2660 Irradiation, electromedical and electrotherapeutic equipment 2015=100",NA,NA
EV69,PPI INDEX EXPORT NEU - C2670 Optical instruments and photographic equipment 2015=100,NA,NA
EV6D,"PPI INDEX EXPORT NEU - C2711 Electric motors, generators and transformers 2015=100",NA,NA
EV6F,PPI INDEX EXPORT NEU - C2712 Electricity distribution and control apparatus 2015=100,NA,NA
EV8O,PPI INDEX EXPORT NEU - C2733 Wiring devices 2015=100,NA,NA
EV8R,PPI INDEX EXPORT NEU - C2740 Electric lighting equipment 2015=100,NA,NA
EV92,PPI INDEX EXPORT NEU - C2790 Other electrical equipment 2015=100,NA,NA
EV95,"PPI INDEX EXPORT NEU - C2811 Engines and turbines, except aircraft, vehicle and cycle engines 2015=100",NA,NA
EV98,PPI INDEX EXPORT NEU - C2812 Fluid power equipment 2015=100,NA,NA
EV9B,PPI INDEX EXPORT NEU - C2813 Other pumps and compressors 2015=100,NA,NA
EV9N,PPI INDEX EXPORT NEU - C2822 Lifting and handling equipment 2015=100,NA,NA
EV9W,PPI INDEX EXPORT NEU - C2825 Non-domestic cooling and ventilation equipment 2015=100,NA,NA
EVB2,PPI INDEX EXPORT NEU - C2849 Other machine tools 2015=100,NA,NA
EVBZ,"PPI INDEX EXPORT NEU - C2893 Machinery for food, beverage and tobacco processing 2015=100",NA,NA
EVCA,"PPI INDEX EXPORT NEU - C2894 Machinery for textile, apparel and leather production 2015=100",NA,NA
EVHR,PPI INDEX EXPORT NEU - C2899 Other special-purpose machinery n.e.c. 2015=100,NA,NA
EVHT,PPI INDEX EXPORT NEU - C2920 Bodies (coachwork) for motor vehicles; trailers and semi-trailers 2015=100,NA,NA
EVHU,PPI INDEX EXPORT NEU - C2931 Electrical and electronic equipment for motor vehicles 2015=100,NA,NA
EVJK,PPI INDEX EXPORT NEU - C3100 Seats and parts thereof 2015=100,NA,NA
EVJL,PPI INDEX EXPORT NEU - C3101 Office and shop furniture 2015=100,NA,NA
EVJO,PPI INDEX EXPORT NEU - C3109 Other furniture 2015=100,NA,NA
EVJS,PPI INDEX EXPORT NEU - C3220 Musical instruments 2015=100,NA,NA
EVJT,PPI INDEX EXPORT NEU - C3230 Sports goods 2015=100,NA,NA
EVJU,PPI INDEX EXPORT NEU - C3240 Games and toys 2015=100,NA,NA
EVJV,PPI INDEX EXPORT NEU - C3250 Medical and dental instruments and supplies 2015=100,NA,NA
EVJW,PPI INDEX EXPORT NEU - C3291 Brooms and brushes 2015=100,NA,NA
EVJX,PPI INDEX EXPORT NEU - C3299 Other manufactured goods n.e.c. 2015=100,NA,NA
EVNT,"PPI INDEX OUTPUT DOMESTIC - B0812 Gravel, sand, clays and kaolin, excluding Aggregate Levy 2015=100",NA,NA
EVNU,"PPI INDEX OUTPUT DOMESTIC - B0812 Gravel, sand, clays and kaolin, including Aggregate Levy 2015=100",NA,NA
EVOF,PPI INDEX OUTPUT DOMESTIC - C1011 Processed and preserved meat 2015=100,NA,NA
EVOG,PPI INDEX OUTPUT DOMESTIC - C1012 Processed and preserved poultry meat 2015=100,NA,NA
EVOH,PPI INDEX OUTPUT DOMESTIC - C1013 Meat and poultry meat products 2015=100,NA,NA
EVOI,"PPI INDEX OUTPUT DOMESTIC - C1020 Processed and preserved fish, crustaceans and molluscs 2015=100",NA,NA
EVOJ,PPI INDEX OUTPUT DOMESTIC - C1031 Processed and preserved potatoes 2015=100,NA,NA
EVOK,PPI INDEX OUTPUT DOMESTIC - C1032 Fruit and vegetable juices 2015=100,NA,NA
EVOL,PPI INDEX OUTPUT DOMESTIC - C1039 Other processed and preserved fruit and vegetables 2015=100,NA,NA
EVOO,PPI INDEX OUTPUT DOMESTIC - C1051 Dairy and cheese products 2015=100,NA,NA
EVOP,PPI INDEX OUTPUT DOMESTIC - C1052 Ice cream 2015=100,NA,NA
EVOQ,PPI INDEX OUTPUT DOMESTIC - C1061 Grain mill products 2015=100,NA,NA
EVOR,PPI INDEX OUTPUT DOMESTIC - C1062 Starches and starch products 2015=100,NA,NA
EVOS,PPI INDEX OUTPUT DOMESTIC - C1071 Bread; fresh pastry goods and cakes 2015=100,NA,NA
EVOT,PPI INDEX OUTPUT DOMESTIC - C1072 Rusks and biscuits; preserved pastry goods and cakes 2015=100,NA,NA
EVOU,"PPI INDEX OUTPUT DOMESTIC - C1073 Macaroni, noodles, couscous and similar farinaceous products 2015=100",NA,NA
EVOW,"PPI INDEX OUTPUT DOMESTIC - C1082 Cocoa, chocolate and sugar confectionery 2015=100",NA,NA
EVOX,PPI INDEX OUTPUT DOMESTIC - C1083 Processed tea and coffee 2015=100,NA,NA
EVOY,PPI INDEX OUTPUT DOMESTIC - C1084 Condiments and seasonings 2015=100,NA,NA
EVOZ,PPI INDEX OUTPUT DOMESTIC - C1085 Prepared meals and dishes 2015=100,NA,NA
EVPB,PPI INDEX OUTPUT DOMESTIC - C1089 Other food products n.e.c. 2015=100,NA,NA
EVPC,PPI INDEX OUTPUT DOMESTIC - C1091 Prepared feeds for farm animals 2015=100,NA,NA
EVPD,PPI INDEX OUTPUT DOMESTIC - C1092 Prepared pet foods 2015=100,NA,NA
EVPE,"PPI INDEX OUTPUT DOMESTIC - C1101 Distilled alcoholic beverages, excluding Duty 2015=100",NA,NA
EVPF,"PPI INDEX OUTPUT DOMESTIC - C1101 Distilled alcoholic beverages, including Duty 2015=100",NA,NA
EVPO,"PPI INDEX OUTPUT DOMESTIC - C1103 Cider and other fruit wines, excluding Duty 2015=100",NA,NA
EVPP,"PPI INDEX OUTPUT DOMESTIC - C1103 Cider and other fruit wines, including Duty 2015=100",NA,NA
EVPR,"PPI INDEX OUTPUT DOMESTIC - C1105 Beer, excluding Duty 2015=100",NA,NA
EVPS,"PPI INDEX OUTPUT DOMESTIC - C1105 Beer, including Duty 2015=100",NA,NA
EVPU,PPI INDEX OUTPUT DOMESTIC - C1107 Soft drinks; mineral waters and other bottled waters 2015=100,NA,NA
EVPX,PPI INDEX OUTPUT DOMESTIC - C1310 Textile yarn and thread 2015=100,NA,NA
EVQA,PPI INDEX OUTPUT DOMESTIC - C1320 Woven textiles 2015=100,NA,NA
EVQB,PPI INDEX OUTPUT DOMESTIC - C1330 Textile finishing services 2015=100,NA,NA
EVQC,PPI INDEX OUTPUT DOMESTIC - C1391 Knitted and crocheted fabrics 2015=100,NA,NA
EVQD,"PPI INDEX OUTPUT DOMESTIC - C1392 Made-up textile articles, except apparel 2015=100",NA,NA
EVQE,PPI INDEX OUTPUT DOMESTIC - C1393 Carpets and rugs 2015=100,NA,NA
EVQG,"PPI INDEX OUTPUT DOMESTIC - C1395 Non-wovens and articles made from non-wovens, except apparel 2015=100",NA,NA
EVSS,PPI INDEX OUTPUT DOMESTIC - C1412 Workwear 2015=100,NA,NA
EVSU,PPI INDEX OUTPUT DOMESTIC - C1413 Other outerwear 2015=100,NA,NA
EVTV,PPI INDEX OUTPUT DOMESTIC - C1520 Footwear 2015=100,NA,NA
EVUD,"PPI INDEX OUTPUT DOMESTIC - C1610 Wood, sawn and planed 2015=100",NA,NA
EVUJ,PPI INDEX OUTPUT DOMESTIC - C1623 Other builders' carpentry and joinery 2015=100,NA,NA
